kelas,hari,sesi,mata_kuliah
1IA01,senin,0,
1IA01,senin,1,ada
1IA01,senin,2,ada
1IA01,senin,3,ada
1IA01,senin,4,
1IA01,selasa,0,
1IA01,selasa,1,ada
1IA01,selasa,2,ada
1IA01,selasa,3,
1IA01,selasa,4,
1IA01,rabu,0,ada
1IA01,rabu,1,ada
1IA01,rabu,2,ada
1IA01,rabu,3,
1IA01,rabu,4,
1IA01,kamis,0,
1IA01,kamis,1,
1IA01,kamis,2,ada
1IA01,kamis,3,
1IA01,kamis,4,
1IA01,jumat,0,ada
1IA01,jumat,1,ada
1IA01,jumat,2,ada
1IA01,jumat,3,ada
1IA01,jumat,4,
1IA01,sabtu,0,
1IA01,sabtu,1,
1IA01,sabtu,2,ada
1IA01,sabtu,3,
1IA01,sabtu,4,
1IA02,senin,0,
1IA02,senin,1,ada
1IA02,senin,2,ada
1IA02,senin,3,ada
1IA02,senin,4,
1IA02,selasa,0,
1IA02,selasa,1,ada
1IA02,selasa,2,ada
1IA02,selasa,3,ada
1IA02,selasa,4,
1IA02,rabu,0,
1IA02,rabu,1,ada
1IA02,rabu,2,ada
1IA02,rabu,3,
1IA02,rabu,4,
1IA02,kamis,0,ada
1IA02,kamis,1,ada
1IA02,kamis,2,ada
1IA02,kamis,3,ada
1IA02,kamis,4,
1IA02,jumat,0,ada
1IA02,jumat,1,ada
1IA02,jumat,2,ada
1IA02,jumat,3,ada
1IA02,jumat,4,
1IA02,sabtu,0,
1IA02,sabtu,1,
1IA02,sabtu,2,ada
1IA02,sabtu,3,ada
1IA02,sabtu,4,
1IA03,senin,0,ada
1IA03,senin,1,ada
1IA03,senin,2,ada
1IA03,senin,3,ada
1IA03,senin,4,
1IA03,selasa,0,ada
1IA03,selasa,1,ada
1IA03,selasa,2,ada
1IA03,selasa,3,
1IA03,selasa,4,
1IA03,rabu,0,
1IA03,rabu,1,ada
1IA03,rabu,2,
1IA03,rabu,3,
1IA03,rabu,4,
1IA03,kamis,0,ada
1IA03,kamis,1,ada
1IA03,kamis,2,ada
1IA03,kamis,3,ada
1IA03,kamis,4,
1IA03,jumat,0,ada
1IA03,jumat,1,ada
1IA03,jumat,2,ada
1IA03,jumat,3,ada
1IA03,jumat,4,
1IA03,sabtu,0,
1IA03,sabtu,1,
1IA03,sabtu,2,ada
1IA03,sabtu,3,ada
1IA03,sabtu,4,
1IA04,senin,0,
1IA04,senin,1,ada
1IA04,senin,2,ada
1IA04,senin,3,ada
1IA04,senin,4,
1IA04,selasa,0,ada
1IA04,selasa,1,ada
1IA04,selasa,2,ada
1IA04,selasa,3,
1IA04,selasa,4,
1IA04,rabu,0,ada
1IA04,rabu,1,
1IA04,rabu,2,ada
1IA04,rabu,3,ada
1IA04,rabu,4,
1IA04,kamis,0,
1IA04,kamis,1,ada
1IA04,kamis,2,ada
1IA04,kamis,3,ada
1IA04,kamis,4,
1IA04,jumat,0,
1IA04,jumat,1,ada
1IA04,jumat,2,ada
1IA04,jumat,3,ada
1IA04,jumat,4,
1IA04,sabtu,0,
1IA04,sabtu,1,
1IA04,sabtu,2,
1IA04,sabtu,3,
1IA04,sabtu,4,
1IA05,senin,0,ada
1IA05,senin,1,ada
1IA05,senin,2,ada
1IA05,senin,3,ada
